,number,value,datetime_start,datetime_complete,duration,params_basis_window,params_coint_window,params_horizon,params_n_estimators,params_ofi_window,params_threshold,params_vol_window,state
0,0,0.0,2025-11-07 19:30:21.014886,2025-11-07 19:30:24.429571,0 days 00:00:03.414685,196,144,42,935,138,0.037729450097618654,63,COMPLETE
1,1,0.0,2025-11-07 19:30:24.429811,2025-11-07 19:30:27.206117,0 days 00:00:02.776306,121,104,42,738,181,0.039439796334106506,135,COMPLETE
2,2,0.0,2025-11-07 19:30:27.206616,2025-11-07 19:30:30.411622,0 days 00:00:03.205006,71,182,52,210,133,0.045901068521228675,181,COMPLETE
3,3,0.0,2025-11-07 19:30:30.412082,2025-11-07 19:30:33.050880,0 days 00:00:02.638798,64,168,13,650,81,0.03774669996626018,152,COMPLETE
4,4,0.0,2025-11-07 19:30:33.051079,2025-11-07 19:30:34.643857,0 days 00:00:01.592778,71,104,31,228,101,0.0351187063946051,188,COMPLETE
5,5,0.0,2025-11-07 19:30:34.644035,2025-11-07 19:30:36.080582,0 days 00:00:01.436547,158,63,20,188,147,0.049522873784238065,185,COMPLETE
6,6,0.0,2025-11-07 19:30:36.080770,2025-11-07 19:30:38.622911,0 days 00:00:02.542141,71,140,31,643,159,0.03230080109324282,91,COMPLETE
7,7,0.0,2025-11-07 19:30:38.623161,2025-11-07 19:30:41.662042,0 days 00:00:03.038881,91,177,26,821,198,0.03341008211761433,85,COMPLETE
8,8,0.0,2025-11-07 19:30:41.662285,2025-11-07 19:30:43.247226,0 days 00:00:01.584941,121,104,54,164,70,0.04274118137497703,192,COMPLETE
9,9,0.0,2025-11-07 19:30:43.247449,2025-11-07 19:30:44.539233,0 days 00:00:01.291784,163,128,42,110,193,0.04931173041431794,95,COMPLETE
10,10,0.0,2025-11-07 19:30:44.539413,2025-11-07 19:30:47.861561,0 days 00:00:03.322148,199,148,43,958,104,0.042705410485492944,72,COMPLETE
11,11,0.0,2025-11-07 19:30:47.861837,2025-11-07 19:30:52.579472,0 days 00:00:04.717635,120,101,42,987,170,0.03864323839256046,127,COMPLETE
12,12,0.0,2025-11-07 19:30:52.579979,2025-11-07 19:30:56.178817,0 days 00:00:03.598838,147,79,60,813,177,0.03614517955445964,124,COMPLETE
13,13,0.0,2025-11-07 19:30:56.179112,2025-11-07 19:30:59.277881,0 days 00:00:03.098769,184,124,39,447,133,0.030179451758504623,150,COMPLETE
14,14,0.0,2025-11-07 19:30:59.278329,2025-11-07 19:31:05.694760,0 days 00:00:06.416431,99,157,50,808,151,0.040845211689811596,112,COMPLETE
15,15,0.0,2025-11-07 19:31:05.695280,2025-11-07 19:31:08.050796,0 days 00:00:02.355516,135,198,35,466,112,0.040304616381509374,151,COMPLETE
16,16,0.0,2025-11-07 19:31:08.051023,2025-11-07 19:31:10.989035,0 days 00:00:02.938012,106,114,47,705,176,0.044666604078097895,62,COMPLETE
17,17,0.0,2025-11-07 19:31:10.989303,2025-11-07 19:31:14.601322,0 days 00:00:03.612019,173,84,60,904,123,0.037591168791683,109,COMPLETE
18,18,0.0,2025-11-07 19:31:14.601606,2025-11-07 19:31:16.996755,0 days 00:00:02.395149,139,136,36,524,188,0.03515517656598725,164,COMPLETE
19,19,0.0,2025-11-07 19:31:16.996959,2025-11-07 19:31:19.156987,0 days 00:00:02.160028,183,90,26,364,161,0.04246849928026078,138,COMPLETE
20,20,0.0,2025-11-07 19:31:19.157203,2025-11-07 19:31:22.064300,0 days 00:00:02.907097,115,66,47,729,144,0.046065446763154154,111,COMPLETE
21,21,0.0,2025-11-07 19:31:22.064573,2025-11-07 19:31:24.240384,0 days 00:00:02.175811,86,188,51,332,131,0.04710364970048937,172,COMPLETE
